StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q30,Q1,Q2,Q2_3_TEXT,Q3,Q3_6_TEXT,Q4,Q4_6_TEXT,Q6_NPS_GROUP,Q6,Q5,Q7,Q8_NPS_GROUP,Q8,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Outcome_1,Outcome_2,SC0,PROLIFIC_PID
2020-03-17 12:53:09,2020-03-17 12:55:07,IP Address,97.99.198.101,100,117,True,2020-03-17 12:55:07,R_2cAStjebmtQFczN,"","","","",33.0287017822265625,-96.6826019287109375,anonymous,EN,5d14fb507091ed0019774f6a,1998,Male,"",Asian,"",High School degree or equivalent,"",Promoter,9,No,Never,Promoter,9,5.849,5.849,59.864,1,"","","","","","","",0.8,0.2,0,5d14fb507091ed0019774f6a
2020-03-17 12:54:11,2020-03-17 12:55:35,IP Address,64.217.155.119,100,83,True,2020-03-17 12:55:35,R_3emlHOJ4vnRmieE,"","","","",29.68890380859375,-95.307098388671875,anonymous,EN,5e690fd5490eba1aeb0cc47e,1990,Female,"",Hispanic or Latino,"",Master’s degree,"",Passive,7,Yes,Once a year,Detractor,4,"","","","","","","","","","","",0.5,0.5,0,5e690fd5490eba1aeb0cc47e
2020-03-17 12:54:17,2020-03-17 12:55:36,IP Address,76.102.34.213,100,78,True,2020-03-17 12:55:36,R_2PASNMKoum2Elqs,"","","","",37.2599029541015625,-121.9170989990234375,anonymous,EN,5d59d45f44609300152e3404,1999,Male,"",Asian,"",High School degree or equivalent,"",Passive,8,Yes,Once a year,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,3-4 days after becoming sick,False,Any time; it makes no difference,"1,000,000",0.5,0.5,3,5d59d45f44609300152e3404
2020-03-17 12:53:24,2020-03-17 12:55:42,IP Address,174.192.214.11,100,138,True,2020-03-17 12:55:42,R_VW0IYBMsrsUNnsl,"","","","",38.9095001220703125,-77.04360198974609375,anonymous,EN,56d1083921cd29000a97382d,1986,Female,"",White,"",Doctorate,"",Promoter,9,Yes,Only when necessary,Passive,8,88.245,88.245,89.011,1,"","","","","","","",1,0,0,56d1083921cd29000a97382d
2020-03-17 12:54:36,2020-03-17 12:55:45,IP Address,24.10.39.152,100,68,True,2020-03-17 12:55:45,R_Ut4FCAPErPVcUkF,"","","","",38.6974945068359375,-121.27140045166015625,anonymous,EN,58d7896b4240e5000118f705,1939,Female,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Only when necessary,Promoter,10,"","","","","","","","","","","",0.51,0.49,0,58d7896b4240e5000118f705
2020-03-17 12:54:58,2020-03-17 12:55:48,IP Address,174.255.76.224,100,49,True,2020-03-17 12:55:48,R_1DFOQ3YS9DbP9mq,"","","","",42.356201171875,-71.06310272216796875,anonymous,EN,5d17c95fe722560015df9598,1989,Female,"",White,"",Bachelor’s degree,"",Detractor,5,Yes,Once in 3 months,Promoter,9,"","","","","","","","","","","",0.59,0.41,0,5d17c95fe722560015df9598
2020-03-17 12:54:37,2020-03-17 12:55:48,IP Address,98.214.121.30,100,71,True,2020-03-17 12:55:49,R_2CeUMuTQJg4F4or,"","","","",40.7122039794921875,-89.62830352783203125,anonymous,EN,5dcf345098981d0821864ccd,2000,Female,"",White,"",High School degree or equivalent,"",Passive,7,Yes,Once a year,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","100,000",0.5,0.5,4,5dcf345098981d0821864ccd
2020-03-17 12:53:44,2020-03-17 12:55:50,IP Address,72.24.84.73,100,126,True,2020-03-17 12:55:50,R_6Wh32g3ZD4BKGBP,"","","","",43.65020751953125,-116.434295654296875,anonymous,EN,5e542aac075473430afb5cc1,1999,Male,"",Hispanic or Latino,"",High School degree or equivalent,"",Passive,7,Yes,Once in 6 months,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,5e542aac075473430afb5cc1
2020-03-17 12:54:35,2020-03-17 12:55:54,IP Address,68.174.216.32,100,79,True,2020-03-17 12:55:55,R_2wgks7MVtTITq6Z,"","","","",40.5334014892578125,-74.20989990234375,anonymous,EN,5588643efdf99b53daee40ca,1989,Female,"",White,"",Bachelor’s degree,"",Detractor,6,Yes,Only when necessary,Detractor,5,"","","","","","","","","","","",0.5,0.5,0,5588643efdf99b53daee40ca
2020-03-17 12:55:17,2020-03-17 12:56:04,IP Address,76.120.19.226,100,46,True,2020-03-17 12:56:04,R_2E5iEXEovNa75mu,"","","","",39.7301025390625,-104.90779876708984375,anonymous,EN,5dea9b8a6ce4011ce1bf5294,1989,Male,"",White,"",High School degree or equivalent,"",Promoter,9,No,Never,Passive,7,"","","","","","","","","","","",0.5,0.5,0,5dea9b8a6ce4011ce1bf5294
2020-03-17 12:55:13,2020-03-17 12:56:06,IP Address,71.204.18.241,100,52,True,2020-03-17 12:56:07,R_9EQ7aQYx3KxwEy5,"","","","",33.914093017578125,-84.82740020751953125,anonymous,EN,5e6bbe543c76d217b546b304,1991,Female,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.25,0.75,0,5e6bbe543c76d217b546b304
2020-03-17 12:54:00,2020-03-17 12:56:07,IP Address,76.167.67.194,100,126,True,2020-03-17 12:56:07,R_D8E5cdOuReWNZbX,"","","","",32.9163970947265625,-117.1392974853515625,anonymous,EN,5e5305059c4fde32637fb5c5,1992,Male,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Once a year,Passive,8,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","100,000",0.61,0.39,5,5e5305059c4fde32637fb5c5
2020-03-17 12:54:35,2020-03-17 12:56:08,IP Address,174.97.150.250,100,92,True,2020-03-17 12:56:09,R_27O6tvv3BObuFQG,"","","","",43.002593994140625,-87.94170379638671875,anonymous,EN,5d549decbba55600199ccdc6,1990,Female,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once a year,Passive,7,0,0,63.278,0,"","","","","","","",1,0,0,5d549decbba55600199ccdc6
2020-03-17 12:55:26,2020-03-17 12:56:15,IP Address,35.40.224.131,100,48,True,2020-03-17 12:56:16,R_vMui4U8RElIqthf,"","","","",42.9698028564453125,-85.92120361328125,anonymous,EN,5a9b336e35237b0001129894,1992,Male,"",White,"",Bachelor’s degree,"",Detractor,5,No,Only when necessary,Detractor,6,"","","","","","","","","","","",0.5,0.5,0,5a9b336e35237b0001129894
2020-03-17 12:55:33,2020-03-17 12:56:16,IP Address,209.122.231.33,100,42,True,2020-03-17 12:56:16,R_OfC1Ukynn0wKPMR,"","","","",40.7427978515625,-73.97119903564453125,anonymous,EN,5cd4141a8ea2ee00192a9089,1994,Female,"",Asian,"",Bachelor’s degree,"",Passive,8,Yes,Only when necessary,Promoter,10,"","","","","","","","","","","",1,0,0,5cd4141a8ea2ee00192a9089
2020-03-17 12:55:29,2020-03-17 12:56:20,IP Address,24.192.195.231,100,50,True,2020-03-17 12:56:21,R_qEmyY7IjtaeZ3J7,"","","","",42.568603515625,-83.066802978515625,anonymous,EN,5db37bb9da032c000f9e04fa,1999,Male,"",White,"",High School degree or equivalent,"",Passive,8,Yes,Once a year,Passive,8,"","","","","","","","","","","",0.5,0.5,0,5db37bb9da032c000f9e04fa
2020-03-17 12:54:52,2020-03-17 12:56:22,IP Address,208.76.137.177,100,90,True,2020-03-17 12:56:22,R_30iaCCt9QEwafIL,"","","","",26.377105712890625,-81.7333984375,anonymous,EN,5cf7df5a8e098100184cbf43,1991,Male,"",White,"",Master’s degree,"",Promoter,9,Yes,Only when necessary,Detractor,5,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,3-4 days after becoming sick,False,"In autumn, just before the peak flu season","100,000",0.5,0.5,5,5cf7df5a8e098100184cbf43
2020-03-17 12:55:17,2020-03-17 12:56:23,IP Address,68.56.89.185,100,66,True,2020-03-17 12:56:23,R_DdHqS9CO6OF156x,"","","","",42.8704071044921875,-85.6681976318359375,anonymous,EN,5d923c2e235f4b0017f269c2,1984,Female,"",White,"",Less than a high school diploma,"",Detractor,6,No,Never,Detractor,3,"","","","","","","","","","","",0.6,0.4,0,5d923c2e235f4b0017f269c2
2020-03-17 12:53:37,2020-03-17 12:56:23,IP Address,98.117.85.131,100,166,True,2020-03-17 12:56:24,R_2t4jP2rI41bBYvf,"","","","",37.5536956787109375,-77.46019744873046875,anonymous,EN,5c50a22dee5ae100010a471d,1990,Non-Binary,"",Other (please specify),SWANA,Bachelor’s degree,"",Detractor,6,No,Only when necessary,Passive,7,0,0,61.511,0,"","","","","","","",0.75,0.25,0,5c50a22dee5ae100010a471d
2020-03-17 12:54:49,2020-03-17 12:56:25,IP Address,184.103.108.110,100,95,True,2020-03-17 12:56:25,R_1GUDp7UVDdhxDAu,"","","","",33.465606689453125,-111.99559783935546875,anonymous,EN,5cabc2ee9c7620001214f395,1992,Male,"",White,"",High School degree or equivalent,"",Passive,8,No,Never,Promoter,9,"","","","","","","","","","","",0.5,0.5,0,5cabc2ee9c7620001214f395
2020-03-17 12:55:47,2020-03-17 12:56:27,IP Address,96.36.19.163,100,39,True,2020-03-17 12:56:27,R_2ToxTl0bZaOAIO0,"","","","",42.2910003662109375,-85.63410186767578125,anonymous,EN,5c0d6e58ea8f6400017192d6,1997,Male,"",White,"",High School degree or equivalent,"",Passive,7,Yes,Once a year,Passive,7,"","","","","","","","","","","",0.5,0.5,0,5c0d6e58ea8f6400017192d6
2020-03-17 12:55:32,2020-03-17 12:56:33,IP Address,72.136.91.111,100,60,True,2020-03-17 12:56:34,R_1LFsLnQ7oCKwj7G,"","","","",42.9591064453125,-81.23220062255859375,anonymous,EN,5cb912a2e254c8001754eabd,1994,Female,"",Asian,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,5cb912a2e254c8001754eabd
2020-03-17 12:55:14,2020-03-17 12:56:34,IP Address,24.88.184.236,100,79,True,2020-03-17 12:56:34,R_AHWWaDE1xh574M9,"","","","",36.0912933349609375,-80.3271026611328125,anonymous,EN,5bc7ce8d545fac0001c3d77e,1989,Female,"",White,"",Bachelor’s degree,"",Detractor,5,No,Never,Detractor,5,"","","","",A virus,Through the air or by touching an infected surface,Between 0 and 2 percent,1 week after becoming sick,False,"In autumn, just before the peak flu season","100,000",0.39,0.61,4,5bc7ce8d545fac0001c3d77e
2020-03-17 12:54:17,2020-03-17 12:56:41,IP Address,73.26.42.142,100,143,True,2020-03-17 12:56:43,R_11dX8ZwaVvWbTvB,"","","","",35.0706024169921875,-106.50659942626953125,anonymous,EN,5dbb604ab1df1b16c10a3510,1980,Female,"",White,"",High School degree or equivalent,"",Passive,8,Yes,Only when necessary,Detractor,5,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","500,000",0.51,0.49,5,5dbb604ab1df1b16c10a3510
2020-03-17 12:55:46,2020-03-17 12:56:45,IP Address,69.124.221.22,100,58,True,2020-03-17 12:56:45,R_3gML7NbnLACR4PE,"","","","",40.6876983642578125,-73.92669677734375,anonymous,EN,5e6daf1bb0939636dbfb6c6b,1993,Male,"",White,"",Master’s degree,"",Promoter,9,No,Once in 6 months,Promoter,10,"","","","","","","","","","","",0,1,0,5e6daf1bb0939636dbfb6c6b
2020-03-17 12:55:31,2020-03-17 12:56:45,IP Address,65.30.49.250,100,74,True,2020-03-17 12:56:45,R_Rhw1GDXOlqZuMQV,"","","","",42.99530029296875,-88.03800201416015625,anonymous,EN,5e2c972a7d97642ba0a357c6,1973,Female,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Once a year,Promoter,9,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0.5,0.5,7,5e2c972a7d97642ba0a357c6
2020-03-17 12:56:12,2020-03-17 12:56:47,IP Address,108.35.27.50,100,35,True,2020-03-17 12:56:48,R_2zBG3hzqI4kkLQX,"","","","",40.99530029296875,-73.9503021240234375,anonymous,EN,5e15e4157adf4bbc81895f03,1989,Female,"",Asian,"",Bachelor’s degree,"",Promoter,10,Yes,Once a year,Detractor,0,"","","","","","","","","","","",0.5,0.5,0,5e15e4157adf4bbc81895f03
2020-03-17 12:55:51,2020-03-17 12:56:48,IP Address,172.79.129.60,100,56,True,2020-03-17 12:56:48,R_2Va9Nx2dg2Jej0K,"","","","",42.689605712890625,-75.61209869384765625,anonymous,EN,5d65754044a43d001748dfcf,1985,Male,"",White,"",Bachelor’s degree,"",Detractor,6,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,5d65754044a43d001748dfcf
2020-03-17 12:54:34,2020-03-17 12:56:50,IP Address,24.191.219.73,100,135,True,2020-03-17 12:56:50,R_1DGqyt86XAoYorT,"","","","",40.93499755859375,-74.1175994873046875,anonymous,EN,58790798ec49b50001590ab8,1991,Female,"",White,"",Master’s degree,"",Passive,8,Yes,Once a year,Detractor,5,0,0,61.886,0,"","","","","","","",0.5,0.5,0,58790798ec49b50001590ab8
2020-03-17 12:54:44,2020-03-17 12:56:50,IP Address,99.126.16.245,100,125,True,2020-03-17 12:56:50,R_3QKS9Aqme1Swf7h,"","","","",33.93719482421875,-84.0791015625,anonymous,EN,5dea961cf4c5e11bd9c4058c,1996,Female,"",Asian,"",High School degree or equivalent,"",Detractor,4,Yes,Only when necessary,Passive,8,3.018,60.398,64.406,3,"","","","","","","",0,1,0,5dea961cf4c5e11bd9c4058c
2020-03-17 12:55:19,2020-03-17 12:56:51,IP Address,199.116.118.211,100,91,True,2020-03-17 12:56:51,R_3GDrTAr5ABcOFnT,"","","","",37.3881072998046875,-121.8755950927734375,anonymous,EN,559fa17cfdf99b69c369d364,1971,Male,"",White,"",Bachelor’s degree,"",Promoter,10,Yes,Only when necessary,Detractor,2,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0,1,7,559fa17cfdf99b69c369d364
2020-03-17 12:55:00,2020-03-17 12:56:54,IP Address,173.190.13.110,100,113,True,2020-03-17 12:56:54,R_0vuHUlaBgD5aV7X,"","","","",37.3954925537109375,-84.33599853515625,anonymous,EN,59a619a8dc50b30001f3063d,1993,Female,"",White,"",High School degree or equivalent,"",Promoter,9,Yes,Only when necessary,Detractor,3,0,0,61.89,0,"","","","","","","",0,1,0,59a619a8dc50b30001f3063d
2020-03-17 12:53:35,2020-03-17 12:56:57,IP Address,71.55.201.76,100,202,True,2020-03-17 12:56:57,R_2QthCsTV3wmjlUC,"","","","",29.257293701171875,-82.16100311279296875,anonymous,EN,5e2b7c1e47a1871c87619ffb,2001,Female,"",Black or African American,"",High School degree or equivalent,"",Passive,7,Yes,Once a year,Promoter,9,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,3-4 days after becoming sick,False,"In summer, well before the next peak flu season","500,000",0.5,0.5,4,5e2b7c1e47a1871c87619ffb
2020-03-17 12:55:52,2020-03-17 12:57:01,IP Address,108.194.42.47,100,69,True,2020-03-17 12:57:02,R_2QgqIsCTiyBDBYC,"","","","",36.968902587890625,-121.99029541015625,anonymous,EN,5e261be0eb4755875c2f9a4f,2001,Female,"",Asian,"",High School degree or equivalent,"",Promoter,9,Yes,Only when necessary,Detractor,5,"","","","","","","","","","","",0.5,0.5,0,5e261be0eb4755875c2f9a4f
2020-03-17 12:54:28,2020-03-17 12:57:00,IP Address,75.58.176.245,100,151,True,2020-03-17 12:57:06,R_2rpHiwqtY6GkGMa,"","","","",28.5807037353515625,-81.189300537109375,anonymous,EN,5d280e75c3c61e000181c6bd,1976,Male,"",White,"",Master’s degree,"",Promoter,10,Yes,Once in 3 months,Promoter,10,0,0,62.395,0,"","","","","","","",0.5,0.5,0,5d280e75c3c61e000181c6bd
2020-03-17 12:56:01,2020-03-17 12:57:06,IP Address,72.239.84.180,100,64,True,2020-03-17 12:57:06,R_pmEBnXhg96EU2BP,"","","","",28.66229248046875,-81.41359710693359375,anonymous,EN,5d3f6bd087ee2600012908b1,2000,Female,"",White,"",High School degree or equivalent,"",Passive,8,No,Once a year,Promoter,9,"","","","","","","","","","","",0.5,0.5,0,5d3f6bd087ee2600012908b1
2020-03-17 12:56:04,2020-03-17 12:57:07,IP Address,24.144.190.145,100,63,True,2020-03-17 12:57:08,R_AokFNRHyQLUDU4N,"","","","",40.855194091796875,-82.314300537109375,anonymous,EN,5d4a30079855f10018912d55,1995,Female,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Never,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,5d4a30079855f10018912d55
2020-03-17 12:56:00,2020-03-17 12:57:07,IP Address,47.146.111.185,100,67,True,2020-03-17 12:57:08,R_1hMy8TECwSg1zbU,"","","","",33.739898681640625,-117.01509857177734375,anonymous,EN,5e37ace67b6a7a72785dcfaf,2001,Male,"",Asian,"",High School degree or equivalent,"",Passive,7,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,5e37ace67b6a7a72785dcfaf
2020-03-17 12:54:57,2020-03-17 12:57:11,IP Address,67.186.188.73,100,134,True,2020-03-17 12:57:12,R_2dvjoPm9Sm0tk2E,"","","","",42.635101318359375,-71.30139923095703125,anonymous,EN,5d02c9be020a21001835c3b4,1980,Male,"",Hispanic or Latino,"",Bachelor’s degree,"",Passive,8,Yes,Once a year,Detractor,5,0,0,64.415,0,"","","","","","","",0.5,0.5,0,5d02c9be020a21001835c3b4
2020-03-17 12:54:59,2020-03-17 12:57:12,IP Address,75.137.8.166,100,133,True,2020-03-17 12:57:12,R_zUnXlVar4tUcBod,"","","","",33.87750244140625,-84.50170135498046875,anonymous,EN,5e3b5fbe3b965937e0364008,1995,Female,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once a year,Promoter,9,"","","","","","","","","","","",0.5,0.5,0,5e3b5fbe3b965937e0364008
2020-03-17 12:56:15,2020-03-17 12:57:14,IP Address,73.95.202.254,100,59,True,2020-03-17 12:57:14,R_3DkduUvRB81ihbS,"","","","",39.6562042236328125,-104.78659820556640625,anonymous,EN,5e68e84cad1e74188fb8f5dc,1989,Male,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.81,0.19,0,5e68e84cad1e74188fb8f5dc
2020-03-17 12:55:04,2020-03-17 12:57:16,IP Address,98.113.87.99,100,131,True,2020-03-17 12:57:16,R_2CNZmSrVxvCYe32,"","","","",40.7819976806640625,-73.99530029296875,anonymous,EN,5dcea48c3f6feb0a41eae267,1957,Female,"",White,"",Bachelor’s degree,"",Passive,7,Yes,Once a year,Promoter,10,0,0,69.727,0,"","","","","","","",0,1,0,5dcea48c3f6feb0a41eae267
